Gene Symbol and Synonyms,UniProt Accession
BT_4374,Q89ZK3
BT_0578,Q8AA87
BT_0425,Q8AAN9
BT_4453,Q89ZC4
BT_1368,Q8A806
BT_1492,Q8A7N2
BT_1970,P94598
BT_1446,Q8A7S8
BT_3146,Q8A309
BT_3884,Q8A0Y7
BT_2724,Q8A479
BT_2551,Q8A4P6
BT_r14,-
BT_4378,Q89ZJ9
BT_1664,Q8A761
BT_1595,Q8A7C9
BT_0768,Q8A9P7
BT_3312,Q8A2J3
BT_1915,Q8A6G9
BT_2519,Q8A4S8
BT_1228,Q8A8D9
BT_2734,Q8A469
BT_3300,Q8A2K5
BT_2238,Q8A5K1
BT_0570,Q8AA95
BT_0872,Q8A9E3
BT_2382,Q8A560
BT_3918,Q8A0V3
BT_4458,Q89ZB9
BT_t43,-
BT_1210,Q8A8F7
BT_4589,Q89YZ1
BT_3184,Q8A2X1
BT_4305,Q89ZS1
BT_0312,Q8AB00
BT_3726,Q8A1E0
BT_2149,Q8A5T9
BT_1476,Q8A7P8
BT_0785,Q8A9N0
BT_2404,Q8A540
BT_1610,Q8A7B5
BT_3314,Q8A2J1
BT_r12,-
BT_2790,Q8A414
BT_0476,Q8AAI8
BT_4451,Q89ZC6
BT_1969,Q8A6B5
BT_2849,Q8A3V5
BT_2723,Q8A480
BT_3093,Q8A362
BT_1986,Q8A699
BT_2130,Q8A5V6
BT_3812,Q8A155
BT_0599,Q8AA66
BT_0684,Q8A9Y1
BT_0983,Q8A934
BT_1009,Q8A908
BT_2489,Q8A4V8
BT_3164,Q8A2Z1
BT_3891,Q8A0Y0
BT_0687,Q8A9X8
BT_4345,Q89ZN2
BT_0767,Q8A9P8
BT_1437,Q8A7T7
BT_2517,Q8A4T0
BT_4702,Q89YM9
BT_2100,Q8A5Y6
BT_t38,-
BT_2713,Q8A490
BT_3411,Q8A294
BT_4315,Q89ZR1
BT_3708,Q8A1F8
BT_1660,Q8A765
BT_t32,-
BT_4066,Q8A0F5
BT_2747,Q8A456
BT_0870,Q8A9E5
BT_2498,Q8A4U9
BT_0650,Q8AA15
BT_2084,Q8A602
BT_0306,Q8AB06
BT_2842,Q8A3W2
BT_0711,Q8A9V4
BT_r01,-
BT_3186,Q8A2W9
BT_3757,Q8A1A9
BT_4099,Q8A0C2
BT_4738,Q89YJ3
BT_4265,Q89ZV6
BT_t44,-
BT_1498,Q8A7M6
BT_2543,Q8A4Q4
BT_3248,Q8A2Q7
BT_t07,-
BT_1577,Q8A7E7
BT_0477,Q8AAI7
BT_0383,Q8AAT1
BT_4110,Q8A0B1
BT_1403,Q8A7X1
BT_t18,-
BT_0552,Q8AAB3
BT_4584,Q89YZ6
BT_4063,Q8A0F8
BT_3053,Q8A3A1
BT_0201,Q8ABA9
BT_0528,Q8AAD7
BT_1718,Q8A707
BT_1379,Q8A7Z5
BT_2076,Q8A610
BT_0553,Q8AAB2
BT_1100,Q8A8R7
BT_1881,Q8A6K0
BT_2387,Q8A555
BT_2129,Q8A5V7
BT_0828,Q8A9I7
BT_3929,Q8A0U2
