KEGG Gene ID	Gene Symbol
mcc:720009	FCGR2B
mcc:699286	MSI1
mcc:708160	SH2B1
mcc:708080	CTSS
mcc:714589	C1S
mcc:721259	NDUFS7
mcc:713112	CBLC
mcc:574257	SLC15A1
mcc:698185	LOC698185
mcc:100423449	-
mcc:704649	IL5RA
mcc:695441	GNB5
mcc:711583	NEUROG3
mcc:718025	RXFP4
mcc:106992484	GTF2H3
mcc:704539	TAF1L
mcc:698875	WWC1
mcc:706012	IL10RB
mcc:693455	NCOA2
mcc:697738	CCNG1
mcc:697339	SEC13
mcc:715011	LOC715011
mcc:707967	UBQLN2
mcc:703099	CDC5L
mcc:696475	PGAP1
mcc:712123	CLCA4
mcc:709728	PRKACB
mcc:709485	GAPDHS
mcc:707405	LLGL1
mcc:719289	LOC719289
mcc:698706	NDUFA8
mcc:714282	HSD17B2
mcc:706764	SQLE
mcc:107000658	PDXP
mcc:709295	CECR1
mcc:709786	BHLHE41
mcc:696791	MED12
mcc:696708	SNAP29
mcc:704008	GABRA4
mcc:694804	PANK4
mcc:715537	VARS
mcc:706179	DAG1
mcc:694216	LOC694216
mcc:712370	MGEA5
mcc:711843	BTRC
mcc:711264	F13A1
mcc:717166	UBOX5
mcc:705437	RPN1
mcc:100428388	BAIAP2
mcc:100424246	VAV1
mcc:694664	POLR2B
mcc:613033	GNRH1
mcc:716629	SIAH1
mcc:701080	CD70
mcc:695387	SNRPB2
mcc:574281	IL4
mcc:702115	ARAP2
mcc:694492	NPY4R
mcc:718302	PECAM1
mcc:705794	GRIA4
mcc:699522	LOC699522
mcc:706331	LOC706331
mcc:708037	MTMR8
mcc:693755	LOC693755
mcc:100430432	-
mcc:711672	MAP2K5
mcc:100426988	-
mcc:699110	LOC699110
mcc:696633	PREP
mcc:710565	LOC710565
mcc:707133	RPS28
mcc:709095	LOC709095
mcc:715826	GFPT2
mcc:716114	C8A
mcc:711235	MRPL9
mcc:700391	MAMU-B
mcc:708144	LOC708144
mcc:696825	RPS6KA3
mcc:711969	RNF41
mcc:100315438	MIR223
mcc:715081	LAP3
mcc:710577	-
mcc:714842	THOC5
mcc:720853	PRPS2
mcc:709520	PCBP1
mcc:718670	INSRR
mcc:701759	TCF7L2
mcc:708434	GOT1
mcc:705484	NEIL1
mcc:574340	SMAD1
mcc:696494	MYD88
mcc:574216	NLGN3
mcc:721200	LOC721200
mcc:705508	GCG
mcc:699868	CTSO
mcc:719487	ISYNA1
mcc:716805	PLXNA1
mcc:574180	CCL17
mcc:574307	ABCG2
mcc:694273	DCTN6
mcc:716698	SYVN1
mcc:693475	LOC693475
mcc:707752	UPB1
mcc:705479	HMGCR
mcc:697109	ASL
mcc:703583	CA13
mcc:694260	LOC694260
mcc:678694	CYP1A1
mcc:697983	MGST2
mcc:705605	ATP6V1B2
mcc:715820	PLOD2
mcc:701083	PLD3
mcc:706165	CDC26
mcc:2846622	ND3
mcc:708317	LOC708317
mcc:722129	MPI
mcc:710622	IL5
mcc:721981	BRCA2
mcc:714129	EIF5B
mcc:574339	GRPR
mcc:716390	PHKB
mcc:700603	RPL13
mcc:705321	THY1
mcc:702464	RBKS
mcc:717574	RPS6KA4
mcc:703671	SLC38A3
mcc:711941	HNRNPM
mcc:693659	CLTA
mcc:694432	MARCO
mcc:716245	SGPL1
mcc:711796	THEM4
mcc:702587	TOLLIP
mcc:719922	LOC719922
mcc:699808	PYCR2
mcc:695240	LIPA
mcc:719311	LOC719311
mcc:708388	OR8K1
mcc:693935	GTF2IRD1
mcc:707455	TEK
mcc:700316	HCFC2
mcc:708377	PARK7
mcc:712859	POP7
mcc:701373	GNL3L
mcc:710179	SLC22A4
mcc:705561	-
mcc:718307	C1QB
mcc:710748	LOC710748
mcc:715952	GLUL
mcc:699451	WBP11
mcc:703050	RPL22
mcc:705213	NUPL2
mcc:698268	OGT
mcc:719871	LOC719871
mcc:710863	TAF6
mcc:722879	ROBO1
mcc:697086	MRPL17
mcc:718909	RPS27A
mcc:696463	LOC696463
mcc:707425	STK3
mcc:710033	DOT1L
mcc:720175	PSMA7
mcc:708602	CMPK2
mcc:700782	LOC700782
mcc:707912	TCERG1
mcc:707601	PSTK
mcc:712135	CTNNA2
mcc:717799	-
mcc:703088	TGFBR2
mcc:707186	NAGLU
mcc:697826	ACVR1C
mcc:574270	KIF3A
mcc:712639	CPB1
mcc:100425716	ATP6V0C
mcc:716257	EFNB3
mcc:100315399	MIR200A
mcc:698057	XIAP
mcc:705775	PPP1R12B
mcc:708070	LOC708070
mcc:722763	PLOD1
mcc:715018	SV2A
mcc:678693	CYP17A1
mcc:574361	KCND2
mcc:697682	LPIN1
mcc:714952	TGFBR1
mcc:709958	ATP6V1A
mcc:706073	CNGB1
mcc:712653	LDB1
mcc:698870	ELOVL6
mcc:711174	LOC711174
mcc:722350	DAGLA
mcc:706988	PPP2R2B
mcc:106992400	-
mcc:699444	NFASC
mcc:703131	MTM1
mcc:703957	RPS8
mcc:708663	LOC708663
mcc:722133	C1R
mcc:694079	SCD5
mcc:718456	UXS1
mcc:701078	SERPINB13
mcc:574335	CCR6
mcc:715663	FOXA3
mcc:717761	FDPS
mcc:704566	PLA2G7
mcc:713073	OR1M1
mcc:694532	CH25H
mcc:717682	SEPT2
mcc:694560	TCF7L1
mcc:100430880	MRPL36
mcc:707375	MGAT1
mcc:705745	LOC705745
mcc:704434	SUCLA2
mcc:709208	LPAR1
mcc:701137	G6PD
mcc:717211	EPHB1
mcc:574168	IL7
mcc:718549	RGS9
mcc:699482	DNAJB11
mcc:100315513	MIR143
mcc:721978	SPDYC
mcc:715172	ALG12
mcc:710934	TRIM37
mcc:701107	RXFP1
mcc:705481	SQSTM1
mcc:695442	RPLP1
mcc:695681	ASAP1
mcc:700892	IDS
mcc:710508	GCLC
mcc:709016	FGF4
mcc:716192	GIPR
mcc:707619	POLM
mcc:721430	LOC721430
mcc:718632	PRKACA
mcc:712143	S1PR2
mcc:718489	GRM4
mcc:713375	GM2A
mcc:720415	LOC720415
mcc:719943	LOC719943
mcc:700015	PNLIPRP1
mcc:709585	HSPA4
mcc:693913	TBKBP1
mcc:711160	ARFGAP3
mcc:717640	GABARAPL1
mcc:106997569	BHLHA15
mcc:701937	CLDN20
mcc:713289	SARDH
mcc:712624	PARVG
mcc:708574	MAD2L1
mcc:100315526	MIR342
mcc:107000069	LOC107000069; LOC107000068
mcc:705313	CD28
mcc:700995	DCTD
mcc:695342	DPYS
mcc:707545	GGT1
mcc:718737	LOC718737
mcc:711437	CTSH
mcc:708569	LSM8
mcc:716297	-
mcc:697521	GLYCTK
mcc:706721	CTNS
mcc:710945	FARS2
mcc:704388	-
mcc:703301	INPP1
mcc:100315385	MIR20A
mcc:694635	NDUFA1
mcc:711363	HDAC6
mcc:708119	CPSF4
mcc:574195	CHRM4
mcc:694587	GHSR
mcc:697508	CSF2RB
mcc:716821	ABHD5
mcc:715276	NOTUM
mcc:694430	POMC
mcc:718883	LOC718883
mcc:711726	IL1R1
mcc:707317	PIGU
mcc:714655	TFDP2
mcc:693951	FYB
mcc:693290	VPS36
mcc:700538	PIP5K1B
mcc:693620	CXXC4
mcc:100315149	MIR19A
mcc:704467	HDAC3
mcc:694412	PEX10
mcc:722623	TAF3
mcc:703043	LOC703043
mcc:717807	RCVRN
mcc:707513	TFAP4
mcc:713095	COX4I2
mcc:695050	LOC695050
mcc:694048	DIS3
mcc:702837	MAPK7
mcc:694642	KSR2
mcc:106993709	-
mcc:705457	CCR4
mcc:708821	NDUFB5
mcc:714211	CAMKMT
mcc:704851	COL2A1
mcc:714636	TRIB3
mcc:718288	FGF21
mcc:574285	ACTB
mcc:106992789	-
mcc:705324	SPTLC1
mcc:697796	DRD1
mcc:709571	MED12L
mcc:710049	MPP5
