Gene ID	Gene Symbol	
101027126	LOC101027126	
100382784	pco060249(433)	
100282512	LOC100282512	
103639339	LOC103639339	
103633205	LOC103633205	
103635286	LOC103635286	
542631	LOC542631	
103636185	LOC103636185	
100280333	LOC100280333	
103654125	LOC103654125	
100273354	ris2	
103644372	LOC103644372	
103637516	LOC103637516	
100384866	LOC100384866	
101027121	rps4	
100282757	LOC100282757	
100281847	pco149699b	
100285932	LOC100285932	
100274506	cl13451_1	
100217309	LOC100217309	
542323	arpp2a	
103638998	LOC103638998	
103640234	LOC103640234	
100274106	LOC100274106	
100285796	LOC100285796	
541631	RR5	
103637346	LOC103637346	
103630203	LOC103630203	
100284119	umc2166	
103645804	LOC103645804	
100273323	pco101615	
100281308	LOC100281308	
103626363	LOC103626363	
100283471	LOC100283471	
542686	psy2	
845198	psaJ	
100037815	magi50422	
100384491	pco137522	
100280848	LOC100280848	
103631271	LOC103631271	
103627860	LOC103627860	
542137	acco20	
100193337	LOC100193337	
542094	rop9	
100192798	LOC100192798	
100279987	AY109916	
100194265	LOC100194265	
100192644	LOC100192644	
103635449	LOC103635449	
100282353	pco080082	
103643865	LOC103643865	
100284778	ZIM26	
103634404	LOC103634404	
103652531	LOC103652531	
100275928	LOC100275928	
100279817	pco073706b	
103651116	LOC103651116	
103654934	LOC103654934	
103649267	LOC103649267	
103631239	LOC103631239	
103654421	LOC103654421	
100127523	ZCN14	
103641409	LOC103641409	
606466	pco139502b	
100273061	LOC100273061	
100285170	LOC100285170	
103639249	LOC103639249	
103647454	LOC103647454	
103646480	LOC103646480	
101027242	LOC101027242	
100277925	LOC100277925	
103633603	LOC103633603	
103646184	LOC103646184	
100285987	hao1	
100381348	LOC100381348	
103649074	LOC103649074	
100282678	pco108913	
103634692	LOC103634692	
103628956	LOC103628956	
100384291	LOC100384291	
542327	vpp3	
103639350	LOC103639350	
100272244	LOC100272244	
100193331	LOC100193331	
103634299	LOC103634299	
542507	cko2	
103636414	LOC103636414	
100273108	pco139385c	
103645418	LOC103645418	
100279736	LOC100279736	
845262	trnN	
